Lisbon Madrid 339
Naples Rome 134
Hamburg Copenhagen 180
Hamburg Berlin 182
Berlin Warsaw 345
Amsterdam Hamburg 338
Amsterdam Brussels 164
Berlin Prague 219
Prague Warsaw 479
Prague Vienna 185
Munich Prague 174
Vienna Warsaw 464
Vienna Budapest 155
Warsaw Budapest 394
Budapest Belgrade 263
Vienna Belgrade 501
Budapest Trieste 384
Trieste Vienna 317
Trieste Belgrade 403
Munich Vienna 280
Munich Rome 582
Genoa Trieste 361
Genoa Rome 328
Trieste Rome 442
Paris Genoa 629
Genoa Bern 304
Genoa Brussels 740
Bern Brussels 497
Amsterdam Bern 558
Amsterdam Munich 526
Bern Munich 311
Bern Trieste 489
Bern Madrid 1104
Madrid Genoa 951
Madrid Paris 805
Paris Brussels 225
